Outlet,Figure,Negative,Neutral,Positive,Date,Mean,,,BAU Means,,,Polarised means,SOU - Biden day,,Polarised Means,Trial Day - Trump,
CNN,Biden,0,6,0,april_12,0,#NAME?,,CNN_Biden,0.375,,CNN_Biden,0.22,,CNN_Biden,-0.2,barely mentioned
CNN,Trump,7,14,0,april_12,-0.333333333,-0.333333333,,CNN_Trump,-0.494444444,,CNN_Trump,-0.33,,CNN_Trump,-0.5,
FOX,Biden,33,11,1,april_12,-0.711111111,-0.711111111,,FOX_Biden,-0.58968254,,FOX_Biden,-0.49,,FOX_Biden,-0.67,
FOX,Trump,2,6,5,april_12,0.230769231,0.230769231,,Fox_Trump,0.025542878,,Fox_Trump,0.15,,Fox_Trump,-0.17,Barely mentioned
NBC,Biden,0,5,3,april_12,0.375,0.375,,NBC_Biden,0,,NBC_Biden,0.71,,NBC_Biden,0.67,
NBC,Trump,4,5,0,april_12,-0.444444444,-0.444444444,,NBC_Trump,-0.418518519,,NBC_Trump,0,,NBC_Trump,-0.27,
CNN,Trump,7,25,1,april_16,-0.181818182,-0.181818182,,,,,,,,,,
FOX,Biden,24,7,0,april_16,-0.774193548,-0.774193548,,,,,,,,Polarised Means,Trial April 17 - Trump,
FOX,Trump,10,19,6,april_16,-0.114285714,-0.114285714,,,,,* Look at % negative towards Trump,,,CNN_Biden,0,
NBC,Biden,0,3,0,april_16,0,#NAME?,,,,,* Look at the % of about Biden / Trump total,,,CNN_Trump,-0.4,
NBC,Trump,7,28,0,april_16,-0.2,-0.2,,,,,,,,FOX_Biden,-0.65,
CNN,Trump,17,26,0,april_17,-0.395348837,-0.395348837,,,,,,,,Fox_Trump,-0.46,
FOX,Biden,21,9,1,april_17,-0.64516129,-0.64516129,,,,,,,,NBC_Biden,0,Barely mentioned
FOX,Trump,23,11,5,april_17,-0.461538462,-0.461538462,,,,,,,,NBC_Trump,-0.1,Barely mentioned
NBC,Biden,0,1,0,april_17,0,#NAME?,,,,,,,,,,
NBC,Trump,2,20,0,april_17,-0.090909091,-0.090909091,,,,,,,,,,
CNN,Biden,0,10,6,april_5,0.375,0.375,,,,,,,,,,
CNN,Trump,7,7,0,april_5,-0.5,-0.5,,,,,,,,,,
FOX,Biden,10,3,2,april_5,-0.533333333,-0.533333333,,,,,,,,,,
FOX,Trump,4,5,1,april_5,-0.3,-0.3,,,,,,,,,,
NBC,Biden,3,4,3,april_5,0,0,,,,,,,,,,
NBC,Trump,7,3,0,april_5,-0.7,-0.7,,,,,,,,,,
CNN,Biden,0,1,0,april_7,0,#NAME?,,,,,,,,,,
CNN,Trump,3,1,0,april_7,-0.75,#NAME?,,,,,,,,,,
FOX,Biden,11,2,2,april_7,-0.6,-0.6,,,,,,,,,,
FOX,Trump,1,2,4,april_7,0.428571429,#NAME?,,,,,,,,,,
NBC,Biden,3,1,1,april_7,-0.4,#NAME?,,,,,,,,,,
NBC,Trump,4,2,0,april_7,-0.666666667,#NAME?,,,,,,,,,,
CNN,Biden,0,0,2,march_14,1,#NAME?,,,,,,,,,,
CNN,Trump,3,6,0,march_14,-0.333333333,-0.333333333,,,,,,,,,,
FOX,Biden,6,4,0,march_14,-0.6,-0.6,,,,,,,,,,
FOX,Trump,0,10,1,march_14,0.090909091,0.090909091,,,,,,,,,,
NBC,Biden,0,3,0,march_14,0,#NAME?,,,,,,,,,,
NBC,Trump,0,4,0,march_14,0,#NAME?,,,,,,,,,,
CNN,Biden,1,0,0,march_16,-1,#NAME?,,,,,,,,,,
CNN,Trump,8,10,0,march_16,-0.444444444,-0.444444444,,,,,,,,,,
FOX,Biden,13,8,3,march_16,-0.416666667,-0.416666667,,,,,,,,,,
FOX,Trump,2,35,1,march_16,-0.026315789,-0.026315789,,,,,,,,,,
NBC,Biden,1,6,0,march_16,-0.142857143,#NAME?,,,,,,,,,,
NBC,Trump,2,13,0,march_16,-0.133333333,-0.133333333,,,,,,,,,,
CNN,Biden,0,0,1,march_17,1,#NAME?,,,,,,,,,,
CNN,Trump,7,8,0,march_17,-0.466666667,-0.466666667,,,,,,,,,,
FOX,Biden,6,3,0,march_17,-0.666666667,-0.666666667,,,,,,,,,,
FOX,Trump,0,20,0,march_17,0,0,,,,,,,,,,
NBC,Biden,0,4,1,march_17,0.2,#NAME?,,,,,,,,,,
NBC,Trump,1,6,0,march_17,-0.142857143,#NAME?,,,,,,,,,,
CNN,Biden,1,4,0,march_21,-0.2,#NAME?,,,,,,,,,,
CNN,Trump,7,7,0,march_21,-0.5,-0.5,,,,,,,,,,
FOX,Biden,38,16,1,march_21,-0.672727273,-0.672727273,,,,,,,,,,
FOX,Trump,2,3,1,march_21,-0.166666667,#NAME?,,,,,,,,,,
CNN,Biden,1,2,0,march_27,-0.333333333,#NAME?,,,,,,,,,,
CNN,Trump,8,1,0,march_27,-0.888888889,-0.888888889,,,,,,,,,,
FOX,Biden,15,10,0,march_27,-0.6,-0.6,,,,,,,,,,
FOX,Trump,5,6,8,march_27,0.157894737,0.157894737,,,,,,,,,,
NBC,Biden,1,3,0,march_27,-0.25,#NAME?,,,,,,,,,,
NBC,Trump,2,6,1,march_27,-0.111111111,-0.111111111,neg,neut,pos,,,,,,,
CNN,Biden,2,17,8,march_8,0.222222222,0.222222222,1,16,9,,,,,,,
CNN,Trump,4,9,0,march_8,-0.307692308,-0.307692308,4,7,2,,,,,,,
FOX,Biden,44,36,3,march_8,-0.493975904,-0.493975904,52,26,5,,,,,,,
FOX,Trump,0,16,3,march_8,0.157894737,0.157894737,1,8,10,,,,,,,
NBC,Biden,1,9,28,march_8,0.710526316,0.710526316,2,30,6,,,,,,,
NBC,Trump,1,5,1,march_8,0,#NAME?,1,3,2,,,,,,,
